Column1;Column2;Column3;Column4
Televisor WINIA LED 43'' FHD Smart Tv L43V750BASW;https://www.plazavea.com.pe/televisor-winia-led-43-fhd-smart-tv-l43v750basw/p;Modelo;WINIA
"Televisor HYUNDAI 55"" UHD 4K Smart TV HYLED5521W4KM";https://www.plazavea.com.pe/televisor-hyundai-55--uhd-4k-smart-tv-hyled5521w4km/p;Modelo;HYUNDAI
;https://www.plazavea.com.pe/televisor-philips-led-58-uhd-4k-smart-tv-58pud7625/p;;
Televisor HAIER LED 55'' UHD 4K Smart TV LE55B9600DUG;https://www.plazavea.com.pe/televisor-haier-led-55-uhd-4k-smart-tv-le55b9600dug/p;Modelo;HAIER
;https://www.plazavea.com.pe/televisor-sony-led-55-uhd-smart-tv-kd55x725fc/p;;
Televisor LG LED 32'' HD ThinQ AI 32LM637B;https://www.plazavea.com.pe/televisor-lg-led-32-hd-thinq-ai-32lm637b/p;Modelo;LG
;https://www.plazavea.com.pe/televisor-aoc-led-43-fhd-smart-tv-43s5195/p;;
Televisor LG NanoCell 86'' UHD 4K ThinQ AI 86NANO75 (2021);https://www.plazavea.com.pe/televisor-lg-nanocell-86-uhd-4k-thinq-ai-86nano75-2021/p;Modelo;LG
Televisor HAIER LED 43'' FHD Smart TV H43K6FG;https://www.plazavea.com.pe/televisor-haier-led-43-fhd-smart-tv-h43k6fg/p;Modelo;HAIER
Televisor LG OLED 48'' 4K ThinQ AI OLED48C1 (2021);https://www.plazavea.com.pe/televisor-lg-oled-48-4k-thinq-ai-oled48c1-2021/p;Modelo;LG
"Televisor BLACKLINE LED 50"" UHD Smart TV";https://www.plazavea.com.pe/televisor-blackline-led-50--uhd-smart-tv/p;Modelo;BLACKLINE
Televisor PANASONIC LED 65'' UHD 4K Smart TV TC-65HX550P;https://www.plazavea.com.pe/televisor-panasonic-led-65-uhd-4k-smart-tv-tc65hx550p/p;Modelo;PANASONIC
;https://www.plazavea.com.pe/televisor-haier-led-50-uhd-4k-smart-tv-h50k6ug/p;;
;https://www.plazavea.com.pe/televisor-philips-led-43-uhd-4k-smart-tv-43pud7406/p;;
Televisor PANASONIC LCD 42'' FHD Smart Tv TC-42JS500P;https://www.plazavea.com.pe/televisor-panasonic-lcd-42-fhd-smart-tv-tc42js500p/p;Modelo;PANASONIC
Televisor AOC LED 32'' HD Smart TV 32S5195;https://www.plazavea.com.pe/televisor-aoc-led-32-hd-smart-tv-32s5195/p;Modelo;AOC
;https://www.plazavea.com.pe/televisor-tcl-led-43-ultra-hd---4k-smart-tv-43p615/p;;
;https://www.plazavea.com.pe/televisor-haier-led-58-ultra-hd---4k-smart-tv-le58k6500dug/p;;
"Televisor AOC LED 43"" FHD Smart TV 43S5305";https://www.plazavea.com.pe/televisor-aoc-led-43--fhd-smart-tv-43s5305/p;Modelo;AOC
Televisor PHILIPS LED 55'' UHD 4K Smart Tv 55PUD7406;https://www.plazavea.com.pe/televisor-philips-led-55-uhd-4k-smart-tv-55pud7406/p;Modelo;PHILIPS
Televisor HYUNDAI LED 58'' Ultra HD / 4K Smart TV HYLED5808W4KM;https://www.plazavea.com.pe/televisor-hyundai-led-58-ultra-hd---4k-smart-tv-hyled5808w4km/p;Modelo;HYUNDAI
Televisor WINIA LED 32'' HD L32B650BASW;https://www.plazavea.com.pe/televisor-winia-led-32-hd-l32b650basw/p;Modelo;WINIA
;https://www.plazavea.com.pe/televisor-samsung-crystal-uhd-43-uhd-4k-smart-tv-un43au7090gxpe/p;;
"Televisor HISENSE LED 55"" UHD Smart TV 55A6GSV";https://www.plazavea.com.pe/televisor-hisense-led-55--uhd-smart-tv-55a6gsv/p;Modelo;HISENSE
;https://www.plazavea.com.pe/televisor-philips-led-65-uhd-4k-smart-tv-65pud7406/p;;
Televisor SAMSUNG LED 32'' HD Smart TV UN32T4300AGXPE;https://www.plazavea.com.pe/televisor-samsung-led-32-hd-smart-tv-un32t4300agxpe/p;Modelo;SAMSUNG
;https://www.plazavea.com.pe/televisor-philips-led-55-uhd-4k-smart-tv-55pud7625/p;;
"Televisor HYUNDAI 65"" UHD 4K Smart TV HYLED6508W4KM";https://www.plazavea.com.pe/televisor-hyundai-65--uhd-4k-smart-tv-hyled6508w4km/p;Modelo;HYUNDAI
;https://www.plazavea.com.pe/rack-para-televisor-prolink-hwm055mk-23-a-55/p;;
Televisor HAIER LED 65'' UHD 4K Smart TV H65K6UG;https://www.plazavea.com.pe/televisor-haier-led-65-uhd-4k-smart-tv-h65k6ug/p;Modelo;HAIER
;https://www.plazavea.com.pe/televisor-winia-led-32-hd-smart-tv-l32b900bqs/p;;
Televisor SAMSUNG LED 55'' UHD 4K Smart Tv UN55AU7090GXPE;https://www.plazavea.com.pe/televisor-samsung-led-55-uhd-4k-smart-tv-un55au7090gxpe/p;Modelo;SAMSUNG
Televisor PANASONIC LCD 43'' UHD 4K Smart Tv TC-43HX550P;https://www.plazavea.com.pe/televisor-panasonic-lcd-43-uhd-4k-smart-tv-tc43hx550p/p;Modelo;PANASONIC
;https://www.plazavea.com.pe/televisor-panasonic-led-43-uhd-4k-smart-tv-tc43gx510p/p;;
Televisor TCL LED 50'' Ultra HD / 4K Smart TV 50P615;https://www.plazavea.com.pe/televisor-tcl-led-50-ultra-hd---4k-smart-tv-50p615/p;Modelo;TCL
Televisor PANASONIC LCD 40'' HD Smart Tv TC-40JS500P;https://www.plazavea.com.pe/televisor-panasonic-lcd-40-hd-smart-tv-tc40js500p/p;Modelo;PANASONIC
Televisor HISENSE ULED XD 50'' UHD 4K Smart Tv 50A6GSV;https://www.plazavea.com.pe/televisor-hisense-uled-xd-50-uhd-4k-smart-tv-50a6gsv/p;Modelo;HISENSE
Televisor HAIER LED 43'' Full HD Smart TV LE43K6500DG;https://www.plazavea.com.pe/televisor-haier-led-43-full-hd-smart-tv-le43k6500dg/p;Modelo;HAIER
;https://www.plazavea.com.pe/televisor-lg-nanocell-55-uhd-4k-thinq-ai-55nano80-2021/p;;
Televisor HAIER LED 32'' HD Smart TV LE32F6000DG;https://www.plazavea.com.pe/televisor-haier-led-32-hd-smart-tv-le32f6000dg/p;Modelo;HAIER
;https://www.plazavea.com.pe/televisor-lg-nanocell-75-uhd-4k-smart-tv-75nano90-2021/p;;
Televisor TCL LED 55'' Ultra HD / 4K Smart TV 55P615;https://www.plazavea.com.pe/televisor-tcl-led-55-ultra-hd---4k-smart-tv-55p615/p;Modelo;TCL
;https://www.plazavea.com.pe/televisor-sony-led-65-uhd-4k-smart-tv-xbr65x805h/p;;
"Televisor SAMSUNG Neo QLED 85"" 8K Smart TV QN85QN900AGXPE";https://www.plazavea.com.pe/televisor-samsung-neo-qled-85--8k-smart-tv-qn85qn900agxpe/p;Modelo;SAMSUNG
Televisor LG LED 86'' UHD 4K Smart Tv 86UP8050 (2021);https://www.plazavea.com.pe/televisor-lg-led-86-uhd-4k-smart-tv-86up8050-2021/p;Modelo;LG
Televisor TCL LED 32'' HD Smart TV 32S60A;https://www.plazavea.com.pe/televisor-tcl-led-32-hd-smart-tv-32s60a/p;Modelo;TCL
Televisor PANASONIC LED  43'' FHD Smart TV TC-43FS510P;https://www.plazavea.com.pe/televisor-panasonic-led43-fhd-smart-tv-tc43fs510p/p;Modelo;PANASONIC
;https://www.plazavea.com.pe/televisor-samsung-crystal-uhd-60-uhd-4k-smart-tv-qn50q80aagxpe/p;;
;https://www.plazavea.com.pe/pack-pelicula-bluray-11y6-capitana-marvel-televisor-blackline-led-50-uhd-smart-tv/p;;
;https://www.plazavea.com.pe/pack-pelicula-bluray-11y6-avengers-endgame-televisor-blackline-led-50-uhd-smart-tv/p;;
;https://www.plazavea.com.pe/televisor-winia-led-43-fhd-smart-tv-l43b750bqs/p;;
;https://www.plazavea.com.pe/pack-pelicula-bluray-11y6-capitana-marvel-televisor-blackline-lcd-39-hd-smart-tv-39st40/p;;
;https://www.plazavea.com.pe/pack-pelicula-bluray-11y6-avengers-endgame-televisor-blackline-lcd-39-hd-smart-tv-39st40/p;;
"Televisor SAMSUNG LED 40"" FHD Smart TV UN40J5200";https://www.plazavea.com.pe/televisor-samsung-led-40--fhd-smart-tv-un40j5200/p;Modelo;SAMSUNG
"Televisor SAMSUNG QLED 55"" Ultra HD / 4K Smart TV QN55LS03AAGXPE";https://www.plazavea.com.pe/televisor-samsung-qled-55--ultra-hd---4k-smart-tv-qn55ls03aagxpe/p;Modelo;SAMSUNG
Televisor LG QNEDl 65'' UHD 4K ThinQ AI 65QNED90 (2021);https://www.plazavea.com.pe/televisor-lg-qnedl-65-uhd-4k-thinq-ai-65qned90-2021/p;Modelo;LG
Televisor HISENSE LED 43'' UHD 4K Smart Tv 43A6GSV;https://www.plazavea.com.pe/televisor-hisense-led-43-uhd-4k-smart-tv-43a6gsv/p;Modelo;HISENSE
;https://www.plazavea.com.pe/televisor-philips-led-uhd-4k-smart-tv-75pud7906/p;;
"Televisor PANASONIC LED 50"" Smart TV TC-50GX500P";https://www.plazavea.com.pe/televisor-panasonic-led-50-smart-tv-tc-50gx500p/p;Modelo;PANASONIC
;https://www.plazavea.com.pe/televisor-samsung-crystal-4k-43-un43au7000gxpe-100362536/p;;
;https://www.plazavea.com.pe/televisor-hyundai-39-hyled397wim-negro-100331522/p;;
Televisor PHILIPS LED UHD 4K Smart TV 70PUD7406;https://www.plazavea.com.pe/televisor-philips-led-uhd-4k-smart-tv-70pud7406/p;Modelo;PHILIPS
Televisor WINIA LED 43'' UHD 4K Smart Tv U43B900BQS;https://www.plazavea.com.pe/televisor-winia-led-43-uhd-4k-smart-tv-u43b900bqs/p;Modelo;WINIA
Televisor PHILIPS LED UHD 4K Smart TV 65PUD7906;https://www.plazavea.com.pe/televisor-philips-led-uhd-4k-smart-tv-65pud7906/p;Modelo;PHILIPS
;https://www.plazavea.com.pe/televisor-samsung-50-au7000-uhd-4k-smart-tv-2021/p;;
;https://www.plazavea.com.pe/televisor-aoc-led-smart-hd-32-32s5305-100184312/p;;
;https://www.plazavea.com.pe/televisor-lg-uhd-4k-thinq-ai-50-50up7750-2021-100147078/p;;
"Televisor SAMSUNG QLED 65"" Ultra HD / 4K Smart TV QN65Q80AAGXPE";https://www.plazavea.com.pe/televisor-samsung-qled-65--ultra-hd---4k-smart-tv-qn65q80aagxpe/p;Modelo;SAMSUNG
"Televisor SAMSUNG LED 58"" UHD 4K Smart TV UN58AU7000GXPE";https://www.plazavea.com.pe/televisor-samsung-led-58--uhd-4k-smart-tv-un58au7000gxpe/p;;SAMSUNG
"Televisor inteligente 70"" AU7000 UHD 4K (2021)";https://www.plazavea.com.pe/televisor-inteligente-70-au7000-uhd-4k-2021-100331520/p;Modelo;SAMSUNG
;https://www.plazavea.com.pe/televisor-lg-nanocell-4k-thinq-ai-50-50nano75-2021-100283043/p;;
"Televisor LG UHD 4K ThinQ AI 65"" 65UP7750 (2021)";https://www.plazavea.com.pe/televisor-lg-uhd-4k-thinq-ai-65-65up7750-2021-100148900/p;Modelo;LG
"Televisor Philips Smart Tv 50"" UHD 4K 50PUD7625 Negro";https://www.plazavea.com.pe/televisor-philips-smart-tv-50-uhd-4k-50pud7625-negro-100148893/p;Modelo;PHILIPS
;https://www.plazavea.com.pe/televisor-lg-uhd-4k-thinq-ai-43-43up7700-2021-100147082/p;;
;https://www.plazavea.com.pe/televisor-lg-nanocell-4k-thinq-ai-55-55nano75-2021-100088018/p;;
"Televisor UHD 50"" UN50AU7000GXPE";https://www.plazavea.com.pe/televisor-uhd-50-un50au7000gxpe-100096661/p;Modelo;SAMSUNG
;https://www.plazavea.com.pe/televisor-samsung-65-au7000-uhd-4k-smart-tv-2021-un65au7000gxpe-100148892/p;;
"Televisor Hyundai 39"" HYLED399AiM Negro";https://www.plazavea.com.pe/televisor-hyundai-39-hyled399aim-negro-100360685/p;Modelo;HYUNDAI
"Televisor LG NanoCell 4K ThinQ AI 55"" 55NANO85 (2021)";https://www.plazavea.com.pe/televisor-lg-nanocell-4k-thinq-ai-55-55nano85-2021-100147249/p;Modelo;LG
"Televisor LG OLED 4K ThinQ AI 65"" OLED65G1 (2021)";https://www.plazavea.com.pe/televisor-lg-oled-4k-thinq-ai-65-oled65g1-2021-100083212/p;Modelo;LG
"Televisor Hyundai 58"" HYLED5808W4KM Plateado";https://www.plazavea.com.pe/televisor-hyundai-58-hyled5808w4km-plateado-100360690/p;Modelo;HYUNDAI
Televisor LG OLED 65'' UHD 4K ThinQ AI OLED65A1 (2021);https://www.plazavea.com.pe/televisor-lg-oled-65-uhd-4k-thinq-ai-oled65a1-2021/p;Modelo;LG
;https://www.plazavea.com.pe/televisor-led-32-ai-thinq-smart-hd-lg-32lm637b-control-magic-2020-100126421/p;;
"Televisor Samsung Smart TV 50"" QLED 4K QN50Q60AAGXPE (2021)";https://www.plazavea.com.pe/televisor-samsung-smart-tv-50qled-4k-qn50q60aagxpe2021100371305/p;Modelo;SAMSUNG
;https://www.plazavea.com.pe/televisor-smart-tv-50-crystal-uhd-4k-50au7000-samsung-100166422/p;;
"Televisor Sony 75"" 4K UHD GOOGLE TV SMART TV LED BRAVIA KD-75X85J";https://www.plazavea.com.pe/televisor-sony-75-4k-uhd-google-tv-smart-tv-led-bravia-kd-75x85j-100147095/p;Modelo;SONY
"Televisor Led Smart TV HD 32"" JVC LT-32KB208";https://www.plazavea.com.pe/televisor-led-smart-tv-hd-32-jvc-lt-32kb208-100182271/p;Modelo;JVC
"Televisor Hyundai 43"" HYLED4321AiM Gris";https://www.plazavea.com.pe/televisor-hyundai-43-hyled4321aim-gris-100360692/p;Modelo;HYUNDAI
"Televisor  Hisense LED HD 32"" 32A4GSV";https://www.plazavea.com.pe/televisor-hisense-led-hd-32-32a4gsv-100194832/p;;HISENSE
;https://www.plazavea.com.pe/televisor-smart-samsung-uhd-4k-55-un55au7090---negro-100401617/p;;
"Televisor Samsung Crystal UHD 50"" UN50AU8000GXPE";https://www.plazavea.com.pe/televisor-samsung-crystal-uhd-50-un50au8000gxpe-100155513/p;Modelo;SAMSUNG
"TELEVISOR LED SMART TV HD 32"" UN32T4300AG SAMSUNG - Televisor Led Smart TV HD 32"" UN32T4300AG SAMSUNG";https://www.plazavea.com.pe/televisor-led-smart-tv-hd-32-un32t4300ag-samsung-100166421/p;Modelo;SAMSUNG
;https://www.plazavea.com.pe/televisor-full-hd-smart-tv-led-32-32phd6825-100077761/p;;
